                                                                       Heist to the Museum - Description of the internal state

                                                                                        Assault party 1                      Assault party 2                                   Museum
MstT   Thief 1      Thief 2      Thief 3      Thief 4      Thief 5      Thief 6            Elem 1     Elem 2     Elem 3         Elem 1     Elem 2     Elem 3    Room 1  Room 2  Room 3  Room 4  Room 5
Stat  Stat S MD    Stat S MD    Stat S MD    Stat S MD    Stat S MD    Stat S MD    RId  Id Pos Cv  Id Pos Cv  Id Pos Cv  RId  Id Pos Cv  Id Pos Cv  Id Pos Cv   NP DT   NP DT   NP DT   NP DT   NP DT
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    0  0    0  0    0  0    0  0    0  0   
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16    0  0    0  0    0  0    0  0   
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26    0  0    0  0    0  0   
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23    0  0    0  0   
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25    0  0   
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
0     0    W  5    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
0     0    W  5    0    W  5    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
0     0    W  5    0    W  5    0    W  5    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
0     0    W  5    0    W  5    0    W  5    0    W  2    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
0     0    W  5    0    W  5    0    W  5    0    W  2    0    W  2    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
0     0    W  5    0    W  5    0    W  5    0    W  2    0    W  2    0    W  5      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
1     0    W  5    0    W  5    0    W  5    0    W  2    0    W  2    0    W  5      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    W  5    0    W  5    0    W  5    0    W  2    0    W  2    0    W  5      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    W  5    0    W  5    0    W  5    0    W  2    0    W  2    0    W  5      1   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    P  5    0    W  5    0    W  5    0    W  2    0    W  2    0    W  5      1   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    P  5    0    P  5    0    W  5    0    W  2    0    W  2    0    W  5      1   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    P  5    0    P  5    0    P  5    0    W  2    0    W  2    0    W  5      1   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    P  5    0    P  5    0    P  5    0    W  2    0    W  2    0    W  5      1   1   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    P  5    0    P  5    0    P  5    0    W  2    0    W  2    0    W  5      1   1   0  0   2   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    P  5    0    P  5    0    P  5    0    W  2    0    W  2    0    W  5      1   1   0  0   2   0  0   3   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
1     0    P  5    0    P  5    0    P  5    0    W  2    0    W  2    0    W  5      1   1   0  0   2   0  0   3   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    P  5    0    P  5    0    P  5    0    W  2    0    W  2    0    W  5      1   1   0  0   2   0  0   3   0  0    0   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    P  5    0    P  5    0    P  5    0    W  2    0    W  2    0    W  5      1   1   0  0   2   0  0   3   0  0    2   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    P  5    0    P  5    0    P  5    0    P  2    0    W  2    0    W  5      1   1   0  0   2   0  0   3   0  0    2   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     0    P  5    0    P  5    0    P  5    0    P  2    0    P  2    0    W  5      1   1   0  0   2   0  0   3   0  0    2   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     1    P  5    0    P  5    0    P  5    0    P  2    0    P  2    0    W  5      1   1   0  0   2   0  0   3   0  0    2   0   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     1    P  5    0    P  5    0    P  5    0    P  2    0    P  2    0    W  5      1   1   0  0   2   0  0   3   0  0    2   4   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
2     1    P  5    0    P  5    0    P  5    0    P  2    0    P  2    0    P  5      1   1   0  0   2   0  0   3   0  0    2   4   0  0   0   0  0   0   0  0    9 16   10 26   10 23   14 25   13 28   
