                                                                       Heist to the Museum - Description of the internal state

                                                                                        Assault party 1                      Assault party 2                                   Museum
MstT   Thief 1      Thief 2      Thief 3      Thief 4      Thief 5      Thief 6            Elem 1     Elem 2     Elem 3         Elem 1     Elem 2     Elem 3    Room 1  Room 2  Room 3  Room 4  Room 5
Stat  Stat S MD    Stat S MD    Stat S MD    Stat S MD    Stat S MD    Stat S MD    RId  Id Pos Cv  Id Pos Cv  Id Pos Cv  RId  Id Pos Cv  Id Pos Cv  Id Pos Cv   NP DT   NP DT   NP DT   NP DT   NP DT
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0    0  0    0  0    0  0    0  0    0  0   
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16    0  0    0  0    0  0    0  0   
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16    0  0    0  0    0  0   
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27    0  0    0  0   
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28    0  0   
0     0    W  0    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
0     0    W  5    0    W  0    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
0     0    W  5    0    W  4    0    W  0    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
0     0    W  5    0    W  4    0    W  2    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
1     0    W  5    0    W  4    0    W  2    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
2     0    W  5    0    W  4    0    W  2    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
3     0    W  5    0    W  4    0    W  2    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
1     0    W  5    0    W  4    0    W  2    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
3     0    W  5    0    W  4    0    W  2    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
3     0    W  5    0    W  4    0    W  2    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
1     0    W  5    0    W  4    0    W  2    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
3     0    W  5    0    W  4    0    W  2    0    W  0    0    W  0    0    W  0      0   0   0  0   0   0  0   0   0  0    0   0   0  0   0   0  0   0   0  0   14 16   15 16   11 27   12 28   14 26   
